provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalUnsound,argus-diesel-12280181414965390748,0,1,true,8,90,90
AlphabeticalComplete,argus-diesel-3430255526965457125,0,2,true,4,11,11
AlphabeticalComplete,random-10-2,0,0,true,11,17,17
AlphabeticalUnsound,argus-axum-18382130072991789967,0,1,true,7,42,42
AlphabeticalUnsound,argus-diesel-2829387904342691312,0,1,true,21,102,102
AlphabeticalUnsound,argus-diesel-2829387904342691312,0,0,true,21,102,102
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,0,true,2,7,7
AlphabeticalRelevant,argus-uom-12620612547616295812,0,1,true,3,7,7
AlphabeticalUnsound,argus-axum-7449751244533988244,0,2,true,6,12,12
AlphabeticalUnsound,argus-axum-4812161634194520255,0,2,true,6,30,30
AlphabeticalUnsound,random-20-5,0,2,true,10,66,66
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,1,true,2,7,7
AlphabeticalUnsound,manual-10,0,0,true,24,120,120
AlphabeticalRelevant,argus-diesel-3430255526965457125,0,0,true,5,11,11
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,0,true,11,60,60
AlphabeticalRelevant,argus-uom-12620612547616295812,0,2,true,3,7,7
AlphabeticalUnsound,argus-uom-15692225898143735533,0,0,true,0,6,6
AlphabeticalUnsound,argus-uom-15692225898143735533,0,1,true,0,6,6
AlphabeticalRelevant,argus-to-string-7456765733392558773,0,2,true,2,7,7
AlphabeticalUnsound,argus-uom-15692225898143735533,0,2,true,0,6,6
AlphabeticalComplete,argus-uom-4056355276583185919,0,1,true,9,20,20
AlphabeticalComplete,argus-uom-15692225898143735533,0,0,true,1,2,2
AlphabeticalUnsound,argus-diesel-12280181414965390748,0,2,true,8,90,90
AlphabeticalUnsound,argus-axum-18382130072991789967,0,2,true,7,42,42
AlphabeticalComplete,argus-uom-15692225898143735533,0,1,true,1,2,2
AlphabeticalComplete,argus-uom-15692225898143735533,0,2,true,1,2,2
AlphabeticalRelevant,argus-diesel-3430255526965457125,0,1,true,5,11,11
AlphabeticalComplete,random-10-2,0,1,true,10,17,17
AlphabeticalRelevant,argus-uom-15692225898143735533,0,0,true,1,2,2
AlphabeticalComplete,argus-diesel-11016622017794300009,0,0,true,30,34,34
AlphabeticalUnsound,random-20-7,0,1,true,15,108,108
AlphabeticalComplete,manual-4,0,1,true,13,10,10
AlphabeticalUnsound,random-20-8,0,1,true,14,108,108
AlphabeticalRelevant,argus-uom-15692225898143735533,0,1,true,1,2,2
AlphabeticalUnsound,random-20-4,0,1,true,33,96,96
AlphabeticalUnsound,argus-axum-1165570467535951434,0,0,true,0,6,6
AlphabeticalRelevant,argus-uom-15692225898143735533,0,2,true,1,2,2
AlphabeticalUnsound,argus-axum-1165570467535951434,0,1,true,0,6,6
AlphabeticalUnsound,manual-7,0,0,true,30,144,144
AlphabeticalUnsound,argus-axum-1165570467535951434,0,2,true,0,6,6
AlphabeticalRelevant,argus-diesel-3430255526965457125,0,2,true,5,11,11
AlphabeticalUnsound,random-20-6,0,1,true,16,114,114
AlphabeticalComplete,argus-axum-1165570467535951434,0,0,true,1,5,5
AlphabeticalComplete,argus-uom-4056355276583185919,0,2,true,9,20,20
AlphabeticalUnsound,random-20-4,0,2,true,32,96,96
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,1,true,11,60,60
AlphabeticalComplete,argus-axum-1165570467535951434,0,1,true,1,5,5
AlphabeticalComplete,argus-axum-1165570467535951434,0,2,true,1,5,5
AlphabeticalUnsound,argus-axum-11184278655555968588,0,0,true,38,96,96
AlphabeticalRelevant,argus-axum-1165570467535951434,0,0,true,1,5,5
AlphabeticalUnsound,argus-diesel-2829387904342691312,0,2,true,19,102,102
AlphabeticalRelevant,argus-axum-1165570467535951434,0,1,true,1,5,5
AlphabeticalComplete,random-10-2,0,2,true,11,17,17
AlphabeticalUnsound,random-30-2,0,0,true,42,168,168
AlphabeticalRelevant,argus-axum-1165570467535951434,0,2,true,1,5,5
AlphabeticalComplete,manual-4,0,2,true,12,10,10
AlphabeticalUnsound,manual-10,0,1,true,21,120,120
AlphabeticalUnsound,random-20-8,0,2,true,14,108,108
AlphabeticalRelevant,argus-uom-4056355276583185919,0,0,true,10,20,20
AlphabeticalUnsound,random-20-7,0,2,true,15,108,108
AlphabeticalUnsound,argus-bevy-11770160436335055444,0,2,true,11,60,60
AlphabeticalComplete,argus-diesel-8325909996476259911,0,0,true,32,37,37
AlphabeticalUnsound,random-20-6,0,2,true,16,114,114
AlphabeticalRelevant,random-10-2,0,0,true,12,17,17
AlphabeticalRelevant,argus-uom-4056355276583185919,0,1,true,10,20,20
AlphabeticalComplete,argus-diesel-11016622017794300009,0,1,true,27,34,34
AlphabeticalRelevant,manual-4,0,0,true,14,10,10
AlphabeticalComplete,argus-axum-4812161634194520255,0,0,true,38,22,22
AlphabeticalComplete,argus-axum-7449751244533988244,0,0,true,39,7,7
AlphabeticalUnsound,manual-7,0,1,true,28,144,144
AlphabeticalUnsound,argus-chumsky-7080345814600703276,0,0,true,64,168,168
AlphabeticalRelevant,random-10-2,0,1,true,12,17,17
AlphabeticalUnsound,manual-10,0,2,true,21,120,120
AlphabeticalRelevant,argus-uom-4056355276583185919,0,2,true,10,20,20
AlphabeticalUnsound,argus-axum-10310841651143324696,0,1,true,68,126,126
AlphabeticalUnsound,argus-uom-61668792546008267,0,0,true,0,12,12
AlphabeticalUnsound,argus-uom-61668792546008267,0,1,true,0,12,12
AlphabeticalUnsound,argus-uom-61668792546008267,0,2,true,0,12,12
AlphabeticalUnsound,argus-axum-10310841651143324696,0,0,true,71,126,126
AlphabeticalUnsound,argus-axum-16221033744433962440,0,1,true,73,132,132
AlphabeticalUnsound,argus-axum-16221033744433962440,0,2,true,73,132,132
AlphabeticalComplete,random-20-6,0,0,true,73,53,53
AlphabeticalComplete,argus-uom-61668792546008267,0,0,true,2,7,7
AlphabeticalRelevant,manual-4,0,1,true,14,10,10
AlphabeticalUnsound,argus-axum-11184278655555968588,0,1,true,36,96,96
AlphabeticalRelevant,random-20-4,0,0,true,74,28,28
AlphabeticalComplete,argus-uom-61668792546008267,0,1,true,3,7,7
AlphabeticalComplete,argus-axum-18382130072991789967,0,0,true,49,34,34
AlphabeticalRelevant,random-10-2,0,2,true,12,17,17
AlphabeticalComplete,argus-uom-61668792546008267,0,2,true,3,7,7
AlphabeticalComplete,random-20-5,0,0,true,82,39,39
AlphabeticalUnsound,argus-axum-18226239923860325739,0,0,true,83,156,156
AlphabeticalRelevant,argus-uom-61668792546008267,0,0,true,3,7,7
AlphabeticalUnsound,random-30-2,0,1,true,40,168,168
AlphabeticalUnsound,random-10-3,0,0,true,4,54,54
AlphabeticalComplete,argus-diesel-8325909996476259911,0,1,true,33,37,37
AlphabeticalRelevant,argus-uom-61668792546008267,0,1,true,3,7,7
AlphabeticalComplete,argus-diesel-11016622017794300009,0,2,true,27,34,34
AlphabeticalUnsound,argus-axum-17497105317668159604,0,0,true,86,162,162
AlphabeticalUnsound,random-10-3,0,1,true,4,54,54
AlphabeticalRelevant,manual-4,0,2,true,14,10,10
AlphabeticalUnsound,argus-axum-15073555522447742375,0,0,true,63,126,126
AlphabeticalUnsound,argus-axum-12393876099641280534,0,0,true,89,174,174
AlphabeticalUnsound,argus-axum-16221033744433962440,0,0,true,89,132,132
AlphabeticalRelevant,argus-uom-61668792546008267,0,2,true,3,7,7
AlphabeticalUnsound,argus-uom-8698853219055427700,0,0,true,0,12,12
AlphabeticalUnsound,manual-7,0,2,true,28,144,144
AlphabeticalUnsound,argus-uom-8698853219055427700,0,1,true,0,12,12
AlphabeticalUnsound,argus-uom-8698853219055427700,0,2,true,0,12,12
AlphabeticalUnsound,random-10-3,0,2,true,4,54,54
AlphabeticalComplete,random-20-4,0,0,true,95,49,49
AlphabeticalComplete,argus-uom-8698853219055427700,0,0,true,3,6,6
AlphabeticalComplete,argus-axum-4812161634194520255,0,1,true,38,22,22
AlphabeticalComplete,argus-uom-8698853219055427700,0,1,true,3,6,6
AlphabeticalComplete,argus-axum-7449751244533988244,0,1,true,39,7,7
AlphabeticalComplete,argus-uom-8698853219055427700,0,2,true,3,6,6
AlphabeticalRelevant,argus-uom-8698853219055427700,0,0,true,4,6,6
AlphabeticalComplete,random-20-7,0,0,true,95,52,52
