provider,name,chosen_solution,replicate,success,duration,total_decisions,unique_decisions
AlphabeticalRelevant,argus-axum-11184278655555968588,0,0,true,52,10,10
AlphabeticalUnsound,argus-media-9498257760582091532,0,0,true,3,36,36
AlphabeticalUnsound,random-50-3,0,0,true,105,288,288
AlphabeticalComplete,random-40-4,0,0,true,80,30,30
AlphabeticalRelevant,argus-axum-7449751244533988244,0,0,true,50,9,9
AlphabeticalRelevant,argus-axum-18382130072991789967,0,0,true,55,34,34
AlphabeticalUnsound,argus-hello-server-10345094108195090742,0,0,true,32,102,102
AlphabeticalComplete,argus-media-9498257760582091532,0,0,true,17,27,27
AlphabeticalRelevant,random-30-5,0,0,true,58,28,28
AlphabeticalComplete,random-20-4,0,0,true,93,49,49
AlphabeticalComplete,argus-diesel-2829387904342691312,0,0,true,126,73,73
AlphabeticalUnsound,argus-axum-7673184455178036491,0,0,true,31,108,108
AlphabeticalComplete,manual-1,0,0,true,70,47,47
AlphabeticalRelevant,argus-media-9498257760582091532,0,0,true,19,27,27
AlphabeticalRelevant,argus-diesel-2829387904342691312,0,0,true,142,67,67
AlphabeticalUnsound,random-60-6,0,0,true,146,354,354
AlphabeticalUnsound,random-30-6,0,0,true,33,156,156
AlphabeticalRelevant,argus-bevy-11770160436335055444,0,0,true,69,37,37
AlphabeticalUnsound,random-50-6,0,0,true,93,282,282
AlphabeticalComplete,argus-diesel-12280181414965390748,0,0,true,96,61,61
AlphabeticalUnsound,argus-bevy-4396782807146839494,0,0,true,15,90,90
AlphabeticalRelevant,random-40-4,0,0,true,69,22,22
AlphabeticalUnsound,argus-axum-8856632446763557465,0,0,true,36,90,90
AlphabeticalUnsound,argus-axum-2355552700190003252,0,0,true,81,150,150
AlphabeticalRelevant,manual-1,0,0,true,51,26,26
AlphabeticalRelevant,random-20-4,0,0,true,71,28,28
AlphabeticalUnsound,random-20-5,0,0,true,10,66,66
AlphabeticalUnsound,manual-10,0,0,true,21,120,120
AlphabeticalUnsound,random-40-5,0,0,true,58,216,216
AlphabeticalComplete,random-30-9,0,0,true,203,84,84
